nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
LI∂∆ MI TY PIEPRZOWEJ;PHYTOPHARM DOBRZYCA;005850;05909990052035;A16AX
NALOXONUM HYDROCHLORICUM WZF;POLFA WARSZAWA;006074;05909990104215;V03AB
ANAFRANIL;TEVA;000529;05909990295210;N06AA
ATREDERM 0,1%;TEVA KRAK”W;000954;05909990231119;D10AD
AZUCALEN;HERBAPOL WROC£AW;001014;05909990007516;D08AX
BACTROBAN;INPHARM/GLAXOSMITHKLINE;001042;05909997010533;D06AX
OPTIVATE;BIO PRODUCTS LABORATORY;001166;05909991228330;B02BD
BIPRESSIN;POLFA PABIANICE;001314;05909990132515;C02DB
BISEPTOL 480;POLFA PABIANICE;001326;05909990117611;J01EE
NORMOVIT;PHYTOPHARM DOBRZYCA;006480;05909990021321;A06AB
HIPURAN-131I DO WSTRZYKIWA—;NARODOWE CENTRUM BADA— J•DROWYCH;006525;05909990327218;V09CX
ONE-ALPHA;LEO;006636;05909990812929;A11CC
BISEPTOL 960;POLFA PABIANICE;001327;05909990117710;J01EE
CALCIUM TEVA;TEVA;001544;05909990249329;A12AA
RAMIPRIL AUROVITAS;AUROVITAS;001577;05909991326012;C09AA
FERRO-GRADUMET;TEOFARMA;003195;05909990325917;B03AA
FITO-MIX 2 FIX;HERBAPOL WARSZAWA;003237;05909990213566;R05CA
FITO-MIX 4 FIX;HERBAPOL WARSZAWA;003243;05909990016013;A16AX
FITO-MIX 5;HERBAPOL WARSZAWA;003248;05909990016129;R05X
FITO-MIX 7;HERBAPOL WARSZAWA;003254;05909990016228;A16AX
FITO-MIX XIII FIX;HERBAPOL WARSZAWA;003270;05909990031504;C03BX
FITOLIZYNA;HERBAPOL WARSZAWA;003272;05909990079469;G04BX
ZIELNIK APTECZNY KWIAT JASNOTY;HERBAPOL LUBLIN;003307;05909990214617;G02CX
ZIELNIK APTECZNY LI∂∆ MALINY;HERBAPOL LUBLIN;003377;05909990323517;A16AX
CEFTAZIDIM MIP PHARMA;MIP PHARMA;003400;05909991234966;J01DD
GUTRON;DELFARMA/TAKEDA;003804;05909997065694;C01CA
HEPA-MERZ;MERZ;003920;05909990338627;A05BA
HERBATA LUBELSKA ZIO£OWA Z OWOCEM PORZECZKI CZARNEJ;HERBAPOL LUBLIN;004017;05900956000275;V06DX
HICONCIL;KRKA;004076;05909990066117;J01CA
ZIELNIK APTECZNY KWIATOSTAN G£OGU;HERBAPOL LUBLIN;004301;05909990028542;C01EX
INJECTIO GLUCOSI 10%;BAXTER TERPOL;004329;05909990190119;B05BA
INJECTIO GLUCOSI 5% ET NATRII CHLORATI 0,9% 1:1;BAXTER TERPOL;004344;05909990190324;B05BB
ISOKET RETARD 120;SCHWARZ PHARMA;004503;05909990112425;C01DA
ISOKET RETARD 20;SCHWARZ PHARMA;004505;05909990286515;C01DA
KETANEST 10;PFIZER;004657;05909990204618;N01AX
KORZE— ARCYDZI GLA;KAWON-HURT;004770;05909994335615;A16AX
KORZE— LUBCZYKA;KAWON-HURT;004781;05909994332317;C03BX
KORZE— LUKRECJI;KAWON-HURT;004785;05909994334113;R05CA
KOSZYCZEK ARNIKI;KAWON-HURT;004812;05909994334915;M02AX
KOSZYCZEK RUMIANKU;KAWON-HURT;004820;05909994335028;A03AX
PERNAZINUM;LABOR;007077;05909990202614;N05AB
KWAS SALICYLOWY MIKRONIZOWANY;FAGRON;000099;05909991311001;D02AF
ACTILYSE 20;BOEHRINGER INGELHEIM;000134;05909990031412;B01AD
MYKODERMINA;PAMPA;006031;05909990201211;D01AE
NETROMYCINE;SCHERING-PLOUGH;006304;05909990122028;J01GB
ABACIL;SENSILAB POLSKA;000004;05909991301729;D08AC
TISSUCOL KIT 2.0;BAXTER;009223;05909990262533;B02BC
KOSTAROX;SANDOZ;009249;05909991296582;M01AH
DISTREPTAZA SK-SD;BIOMED WARSZAWA;002579;05909990023318;B01AD
NATRIUM BICARBONICUM 8,4% POLPHARMA;POLPHARMA;006165;05909990248513;B05XA
NATRIUM CHLORATUM 5,85%;POLPHARMA;006194;05909990248612;B05XA
SILOL 1000 F;BIOGENED;008399;05909990202911;D02AA
UNDESTOR;ORGANON;009499;05909990234417;G03BA
URO-VAXOM;OM PHARMA;009579;05909990053513;J07AX
VENACORN;FILOFARM;009681;05909990211814;C04AE
AESCULUS-HEEL;HEEL;000201;05909990426171;V03AX
ANTYPOT;FARKO;000656;05909990169412;D11AA
APIS-HOMACCORD;HEEL;000707;05909990426294;V03AX
DOBUTREX;ELI LILLY;002600;05909990189519;C01CA
ENDOBULIN S/D;BAXTER;002924;05909990073023;J06BA
ENDOBULIN S/D;BAXTER;002928;05909990073054;J06BA
ALDECIN INHALER;SCHERING-PLOUGH;000294;05909990121311;R03BA
ALTRAMET;LEK, PRUSZK”W;000372;05909990221417;A02BA
PEDICETAMOL;SEQUOIA;000674;05909990765270;N02BE
SOLCOSERYL;MEDA;008483;05909990262717;D03AX
SPIRYTUS KAMFOROWY;LABORATORIUM GALENOWE CEFARM CZ STOCHOWA;008596;05909994314719;M02AX
TEARS NATURALE FREE;ALCON;009006;05909990065417;S01XA
TEGRETOL CR 400;NOVARTIS;009012;05909990120116;N03AF
BACTRIM;INPHARM/ROCHE;000780;05909997014807;J01EE
BENZACNE;TAKEDA;001141;05909990232314;D10AE
BERBERIS-HOMACCORD;HEEL;001162;05909996351910;V03AX
ESBERITOX N;SCHAPER & BRUEMMER;002994;05909990013012;L03AX
EXTRALL SOLUTIO;LABORATORIUM GALENOWE CEFARM LUBLIN;003088;05909990067718;D04AX
BABKA LANC. FIX;HERBAPOL BIA£YSTOK;003373;05909990885022;R05X
BERODUAL;BOEHRINGER INGELHEIM;001173;05909990102716;R03AL
BLASTOLEM;LEMERY;001345;05909990307616;L01XA
CARBO COMPOSITUM;HEEL;001592;05909990426690;V03AX
CYTOTECT BIOTEST;BIOTEST;002167;05909990072767;J06BB
GAMMA GLOBULINA LUDZKA;BIOMED WARSZAWA;003503;05909990079421;J06BA
GASTRINAL;LEK, STRYK”W;003551;05909990199617;A02AB
GLICEROL 86%;ELISSA;003665;05909990661749;D02AX
CYTOTECT BIOTEST;BIOTEST;002169;05909990072750;J06BB
DERMOSAN;OMEGA PHARMA;002345;05900008004190;V07AT
TADROXIL;POLFA TARCHOMIN;002747;05909990832828;J01DB
INJECTIO GLUCOSI 10% BAXTER;BAXTER;003691;05909990784646;B05BA
INJECTIO GLUCOSI 10% BAXTER;BAXTER;003692;05909990784653;B05BA
GLICERYNA 85%;AMARA;003752;05909990030699;D02AX
EKOVIT;CURTIS HEALTH CAPS;002833;05909990034918;A11JB
INTRATECT;BIOTEST;003513;05909991071820;J06BA
INTRATECT;BIOTEST;003514;05909991071837;J06BA
ARDUAN;DELFARMA/GEDEON RICHTER;000840;05909997220178;M03AC
BIOARON C;PHYTOPHARM KL KA;001258;05909990046720;A13A
CHLORHEXIDINUM GLUCONICUM 20%;SENSILAB POLSKA;001767;05909991301620;D08AC
TANTUM ROSA;ANGELINI;008978;05909990027828;G02CC
TANTUM VERDE;ANGELINI;008980;05909990018116;A01AD
UBRETID;TAKEDA;009429;05909990276028;N07AA
HEMOFER;MEDANA PHARMA;003902;05909990325412;B03AA
VITAX HERBATA CZARNA MALINOWA Z HIBISKUSEM;TETLEY POLSKA;004019;05900175002012;V06DX
HUMULIN M2 (20/80);ELI LILLY;004160;05909990245611;A10AD
COMBIZYM;DAIICHI SANKYO;002020;05909990259526;A09AA
CRAVISOL;PHYTOPHARM KL KA;002113;05909990062515;C01EX
DAKTARIN;MCNEIL;002211;05909990280629;D01AC
HUMULIN N;ELI LILLY;004168;05909990246519;A10AC
HUMULIN R;ELI LILLY;004171;05909990247110;A10AB
INJECTIO GLUCOSI 5% ET NATRII CHLORATI 0,9% 1:1 BAXTER;BAXTER;004340;05909990190331;B05BB
DR. THEISS RINGELBLUMEN SALBE;DR. THEISS NATURWAREN;002710;05909990099412;D03AX
DUPHASTON;SOLVAY;002742;05909990078219;G03DB
ECOMER;KROTEX;002792;05909990076314;L03AX
ULTRAPROCT;BAYER SCHERING;009462;05909990668625;C05AA
MA∂∆ ARNIKOWA;ELISSA;009509;05909990047611;M02AX
MA∂∆ CYNKOWA Z KWASEM SALICYLOWYM;ELISSA;009548;05909994341227;D11AX
ELMEX;GABA;002866;05909990334988;A01AA
ELMEX SENSITIVE PLUS;GABA;002869;07610108014217;A01AA
COLTOWAN;GEDEON RICHTER POLSKA;002877;05907594032002;C10AX
TEPASTA;CHEMA-ELEKTROMET;009030;05909990078417;A01AD
NOCLAUD;DELFARMA/EGIS;009143;05909991289898;B01AC
TRAVOGEN;INPHARM/BAYER;009302;05909997075945;D01AC
VITABIO D;PERFFARMA;009752;05902020586005;A11CC
VINILINUM BALSAM SZOSTAKOWSKIEGO;ELJOT;009766;05907722354013;V07AT
VERTIGOHEEL;HEEL;010518;05909990430062;V03AX
TROXEVASIN;MEDICA;009382;05909990264513;C05CA
UROPOLINUM 60%;POLPHARMA;009601;05909990310012;V08AA
VITAMIN 15;LEGACY PHARMACEUTICALS SWITZERLAND;009826;05909990279319;A11AA
SPIRYTUSOWY ROZTW”R FIOLETU GENCJANOWEGO 2%;GEMI;003228;05909990316847;D08AX
FLUOROURACIL ACCORD;ACCORD HEALTHCARE;003354;05909990774807;L01BC
GENTAMYTREX;MANN;003622;05909990667819;S01AA
CRALONIN;HEEL;010521;05909990427178;V03AX
GRIPP-HEEL;HEEL;010533;05909990428090;L03AX
ZEEL T;HEEL;010536;05909996300529;V03AX
PEELING KREM CZYSZCZ•CY ORZECHOWO-MIODOWY DROBNOZIARNISTY;DR IRENA ERIS;010839;05900717072138;V07AT
ZUBER I;UZDROWISKO KRYNICA-ØEGIEST”W;009995;05901115000921;V06DX
ALPROX;ORION;010029;05909990860371;N05BA
ZINNAT;MERCAPHARM/GLAXOSMITHKLINE;010307;05909997232508;J01DC
SONOL;ELANDA;011214;05909990058419;D04AX
PHYTOLASTIL GEL;LIERAC;011335;03508240209117;V07AT
CARDIACUM-HEEL;HEEL;011946;05909996345117;V03AX
GUAJAVIS;VIS;003792;05909990185917;R05CA
SUCCUS ECHINACEAE PHYTOPHARM;PHYTOPHARM KL KA;008731;05909990062836;R05X
SUCCUS PLANTAGINIS;PHYTOPHARM KL KA;008739;05909990199228;R05X
FLUANXOL;LUNDBECK;010385;05909990127023;N05AF
COORDINAX;JANSSEN-CILAG;010464;05909990285716;A03FA
AESCIN;FORFARM/TEVA;010502;05909991237257;C05CX
TABLETKI Z CZOSNKU LABOFARM;LABOFARM;008936;05909990217014;C10AX
TIENAM IV 500 MG;MERCK SHARP & DOHME;009158;05909990099016;J01DH
TRENTAL;AVENTIS PHARMA;009312;05909990152810;C04AD
VELBE;ELI LILLY;009676;05909990226412;L01CA
TRIBUX;BIOFARM;009698;05909991317263;A03AA
WALERIANA NA DZIE—;VITAMEX;009929;05909990270712;N05CX
ZIELE NAW£OCI;FLOS;010199;05909990195718;C03BX
DAKTARIN;MCNEIL;010461;05909990280612;D01AC
MA∂∆ CHOLESTEROLOWA;PAMPA;010593;05909991372279;V07AY
WALERIANA NA NOC;VITAMEX;009931;05909990270811;N05CX
WYCI•G ZE SKRZYPU POLNEGO Z WITAMINAMI;VITAMEX;010008;05909990225620;A11EX
XORIMAX 500;SANDOZ;010309;05909990763191;J01DC
EUTHYROX N 88 MCG;MERCK;010651;05909990718993;H03AA
EUTHYROX 125;MERCK;010658;05909990676125;H03AA
HALOPERIDOL UNIA;UNIA;011086;05909990239429;N05AD
SOLIFENACIN FARMAX;SVUS;010662;05909991344870;G04BD
APO-ATENOL 100;APOTEX;010679;05909990176236;C07AB
ZASADOWY W GLAN BIZMUTU;AMARA;010935;05909990932641;A02BX
CYNKU TLENEK;PAMPA;010599;05909990086535;V03AX
POTASU JODEK;PAMPA;010605;05909990086481;R05CA
TALK;PAMPA;010611;05909990636648;D04AX
CIMICIFUGA-HOMACCORD;HEEL;011954;05909990426959;V03AX
PENICILLINUM PROCAINICUM;POLFA TARCHOMIN;012089;05909990311217;J01CE
GRAPHITES-HOMACCORD;HEEL;012212;05909990428045;V03AX
ZIELE RDESTU OSTROGORZKIEGO;HERBALUX;010225;05909994383739;B02BX
ZIELE TYMIANKU;HERBALUX;010289;05909994357952;R05CA
AROVITAL LIPA+ARONIA;ZIO£OLEK;010633;05900558000772;A13A
HEPEEL COMPOSITUM;HEEL;012237;05909990428274;V03AX
HEPEEL COMPOSITUM;HEEL;012238;05909990428298;V03AX
HEPEEL;HEEL;012240;05909990428359;A05BA
SOTALEX MITE;BRISTOL-MYERS SQUIBB;010697;05909990674534;C07AA
REFORTAN FORTE;BERLIN-CHEMIE;010764;05909990068166;B05AA
DIPROGENTA;MERCK SHARP & DOHME;010860;05909990294329;D07CC
HUSTEEL;HEEL;012251;05909990428458;V03AX
KALMIA COMPOSITUM;HEEL;012267;05909990428601;V03AX
MERCURIUS-HEEL S;HEEL;012293;05909990428830;V03AX
DOPRIL;S-LAB;010685;05909991328542;C09AA
GLICERYNA;AFLOFARM;010918;05909990212903;D02AX
SODU WODOROW GLAN;AFLOFARM;010927;05909990013555;D04AX
KWAS BOROWY;COEL;010942;05909990636860;D08AD
ZIELE FIO£KA TR”JBARWNEGO;ZIO£A LECZNICZE - BOGUCCY;011108;05909994407220;D10BX
SUCCUS ECHINACEAE PHYTOPHARM;PHYTOPHARM KL KA;011447;05909990777747;R05X
MENTHAE PIPERITAE TINCTURA;GALFARM KRAK”W;010947;05909991000332;A16AX
DOLOVIT VITAMIN A, E + SPEZIELLER B-KOMPLEX;ROCHE;011099;05909990097210;A11EX
KORZE— WILØYNY;HERBALUX;011110;05909990614127;C03BX
QUICK VUE TEST CI•ØOWY;SERATEC;011088;05902596925352;V04B
ØEL PRZECIW KLESZCZOM;ICHEM;011421;05900425000294;V07AT
CONCOR COR 1,25;FORFARM/MERCK;011932;05909991250331;C07AB
ISOPTIN 40;MYLAN HEALTHCARE;011125;05909990100415;C08DA
TINCTURA CAPSICI;GALFARM KRAK”W;011273;05909991050269;M02AB
MASTODYNON;DELFARMA/BIONORICA;011304;05909991249052;G02CX
BRILO.EU OKULARY DO CZYTANIA MODEL RE028-A/100;FARKONEL;012676;05907714076800;
BRILO.EU OKULARY DO CZYTANIA MODEL RE104-C/100;FARKONEL;012831;05907714076497;
BRILO.EU OKULARY DO CZYTANIA MODEL RE104-B/100;FARKONEL;012836;05907714076497;
SOTAHEXAL 160;SANDOZ;012842;05909990309115;C07AA
VITAMIN A STREULI;STREULI;011394;07680342100205;A11CA
NORCURON;ORGANON;012599;05909990088621;M03AC
NORCURON;ORGANON;012602;05909990088713;M03AC
SZCZEPIONKA PRZECIWGRUèLICZA BCG 10;BIOMED LUBLIN;012840;05909990021017;J07AN
OLAMIDE;ACCORD HEALTHCARE;011469;05909991274832;A03FA
KOSZYCZEK NAGIETKA;FLOS;011570;05909990628520;D03AX
WODA UTLENIONA GEMI;GEMI;011982;05909990724635;D08AX
SALBUTAMOL WZF;POLFA WARSZAWA;008158;05909990104512;R03CC
SALBUTAMOL WZF;POLFA WARSZAWA;008159;05909990130313;R03CC
PHYTOPHARM SEPTOVIT;PHYTOPHARM DOBRZYCA;008346;05909990698721;R02AA
DIMETYKON 350;PHARMA-COSMETIC;008410;05909990906840;D02AA
ZIELE SKRZYPU PHYTOPHARM;PHYTOPHARM DOBRZYCA;008459;05909990051151;C03BX
KETOPROFENUM FASTUM;DELFARMA/MENARINI;008566;05909997216553;M02AA
SUSTONIT;POLFA WARSZAWA;008860;05909990183111;C01DA
SYLIGRAN;HERBAPOL £”Dè;008873;05909990216017;A05AX
LI∂∆ SZA£WII;PHYTOPHARM DOBRZYCA;008897;05900175447622;A01AD
TISERCIN;EGIS;009219;05909990183418;N05AA
TRINORDIOL 21;WYETH;009346;05909990072422;G03AB
TROBICIN;PHARMACIA;009363;05909990289714;J01XX
METEOSPASMYL;MAYOLY-SPINDLER;009435;05909991268213;A03AX
UNICAP M;PHARMACIA;009560;05909990146215;A11AA
VITAMINUM B COMPOSITUM;POLFA WARSZAWA;009839;05909990104833;A11EA
VITAMINUM B12 WZF;POLFA WARSZAWA;009847;05909990244010;B03BA
KWAS ASKORBOWY;PHARMA-COSMETIC;009865;05909990625567;A11GA
VITAMINUM E;POLFA WARSZAWA;009877;05909990104710;A11HA
LINCOCIN;PFIZER;005145;05909990146611;J01FF
LI∂∆ PRAWO∂LAZU;KAWON-HURT;005303;05909994370319;R05X
LI∂∆ SZA£WII;KAWON-HURT;005316;05909994332850;A01AD
MARCAINE 0,25%;ASTRAZENECA;005535;05909990130719;N01BB
MARCAINE-ADRENALINE 0,25%;ASTRAZENECA;005540;05909990131518;N01BB
NOOTROPIL;UCB;006456;05909990183913;N06BX
NORVASC;PFIZER;006486;05909990012916;C08CA
NUTRAMIGEN;MEAD JOHNSON;006513;05909990233410;V06DF
ESTRADIOL DEPOT;JENAPHARM;006542;05909990221912;G03CA
OMNIPAQUE 180;NYCOMED AMERSHAM;006613;05909990285020;V08AB
PATENTEX OVAL N;MERZ;006998;05909990266319;G02BB
MIESZANKI APTECZNE PEKTOSAN;HERBAPOL LUBLIN;007014;05909990196814;R05CA
PERLINGANIT;UCB;007073;05909990264919;C01DA
EFFERALGAN FORTE;INPHARM/BRISTOL-MYERS SQUIBB;000066;05909991223670;N02BE
ADRIBLASTINA R.D.;PFIZER;000184;05909990235612;L01DB
REFACTO AF;PFIZER;000222;05909990880843;B02BD
ULCAMED;KRKA;000356;05909991250690;A02BX
ALUSAL;GEDEON RICHTER;000386;05909990248810;A02AB
OCTANINE F 500;OCTAPHARMA;000623;05909990799367;B02BD
AQUA PRO INJECTIONE;BAXTER TERPOL;000813;05909990190515;V07AB
AQUAFRESH MILD 'N' MINTY;GLAXOSMITHKLINE;000831;05000199051130;A01AA
AQUAFRESH MILD 'N' MINTY;GLAXOSMITHKLINE;000835;05000199051116;A01AA
AUGMENTIN 125 MG + 31,25 MG/5 ML;GLAXOSMITHKLINE;000966;05909990064311;J01CR
BATRAFEN;SANOFI-AVENTIS;001070;05909990152216;D01AE
BECODISK;GLAXOSMITHKLINE;001095;05909990143917;R03BA
BILOBIL;KRKA;001231;05909990007110;C04AX
BILOBIL;KRKA;001232;05909990007127;C04AX
OCTAGAM 10%;OCTAPHARMA;001246;05909990763870;J06BA
OCTAGAM 10%;OCTAPHARMA;001247;05909990763887;J06BA
BOBOFEN FIX;HERBAPOL LUBLIN;001373;05909990004928;A03AX
CALSYNAR;NATTERMANN;001559;05909990098316;H05BA
CALGAM;ULFAWITA;001555;05909990177615;A11HA
CEFOBID;PFIZER;001664;05909990065011;J01DD
VERTISAN 8;HENNING;001850;05909990726974;N07CA
CORDARONE;SANOFI-AVENTIS;002058;05909990163618;C01BD
CYTOSAR;PFIZER;002165;05909990314515;L01BC
DALACIN C;PFIZER;002212;05909990345014;J01FF
MEPRELON;SUN-FARM;002321;05909990939183;H02AB
DEPO-MEDROL Z LIDOKAIN•;PFIZER;002323;05909990236312;H02AB
VOLTAREN EXPRESS FORTE;GLAXOSMITHKLINE;002452;05909990858453;M01AB
DIFLUCAN;PFIZER;002486;05909990071814;J02AC
DILZEM 25;GOEDECKE;002518;05909990205110;C08DB
DILZEM RETARD;PFIZER;002520;05909990213238;C08DB
PHENYLEPHRINE UNIMEDIC;UNIMEDIC;002638;05909991303310;C01CA
DROTAFEMME;SUN-FARM;003001;05909991296469;A03AD
ESPUMISAN;FORFARM/BERLIN-CHEMIE;003005;05909997209715;A03AX
ESSENTIALE MAX;SANOFI-AVENTIS;003018;05909991034474;A05BA
EXACYL;SANOFI-AVENTIS;003078;05909990036011;B02AA
FITO-MIX 2;HERBAPOL WARSZAWA;003236;05909990015726;R05CA
FITO-MIX 4;HERBAPOL WARSZAWA;003242;05909990015924;A16AX
SIMET-AL;KATO;011321;05909990135127;A02AF
ETOPIRYNA;POLPHARMA;003045;05909990189922;N02BA
EUCLAMIN;POLPHARMA;003052;05909990205516;A10BB
AFOBAM;EGIS;010032;05909990801862;N05BA
COLGATE JUNIOR SUPERSTAR;COLGATE-PALMOLIVE;001991;08410372203305;A01AA
BELOGENT;BELUPO;002537;05909991134617;D07CC
NASO-HEEL SNT;HEEL;012315;05909990776030;V03AX
NEURO-INJEEL;HEEL;012330;05909990429332;V03AX
SULFUR COMPOSITUM-HEEL;HEEL;012457;05909990429769;V03AX
DORMICUM;ROCHE;012943;05909990094219;N05CD
DIHYDROERGOTOXINUM AETHANOSULFONICUM;FILOFARM;002509;05909990211210;N02CA
DIPHERGAN;PHARMASWISS;002526;05909990228317;R06AD
ROSTIL;AFLOFARM;002596;05909990944019;C05BX
DOXIUM 500;DELFARMA/OM PHARMA;002689;05909997200378;C05BX
FENACTIL;TEVA KUTNO;003154;05909990188925;N05AA
FENISTIL;DELFARMA/GLAXOSMITHKLINE;003170;05909997014296;R06AB
ZEFADYM;ACTAVIS;003405;05909990717552;J01DD
ZEFADYM;ACTAVIS;003407;05909990717545;J01DD
SULFUR COMPOSITUM-HEEL;HEEL;012458;05909990429752;V03AX
TANACET-HEEL;HEEL;012462;05909996354812;V03AX
TRAUMEEL S;HEEL;012493;05909990429899;V03AX
DOXOLEM;LEMERY;012839;05909990309511;L01DB
ARGOSULFAN;INPHARM/PHARMASWISS;012886;05909991260934;D06BA
LI∂∆ MI TY PIEPRZOWEJ HERBATKA MI TOWA;ELANDA;013365;05908251901426;A16AX
MIESZANKI APTECZNE CARDIOSAN;HERBAPOL LUBLIN;001621;05909990013814;C01AX
CETRISCABIN;SANOFI-AVENTIS;001705;05909990808915;P03AX
MIESZANKI APTECZNE CHOLAGOGA I;HERBAPOL LUBLIN;001789;05909990195916;A05AX
DALACIN C;PFIZER;002214;05909990071111;J01FF
DEBELIZYNA;HERBAPOL WARSZAWA;002253;05909990009213;G04BX
DECARIS;GEDEON RICHTER;002259;05909990254217;P02CE
SZA£WIA;MALWA TEA;013701;05902781000192;A01AD
ZIELE FIO£KA TR”JBARWNEGO;ELANDA;014051;05909994415812;D10BX
KALIUM GLUCONICUM;POLFARMEX;014166;05909990306312;A12BA
FLEXUS FLUID ONE;VALENTIS;012866;07640153060228;M09AX
EUCERYNA APTECZNA;ZIAJA;012967;05909990056149;V07AY
APTEO WIESIO£EK;SYNOPTIS;013266;05907553017156;C10AX
GUAJAVIS;VIS;003795;05909990185924;R05CA
GYNO-FEMIDAZOL;GEDEON RICHTER POLSKA;003812;05909990281312;G01AF
INTRACTUM CRATAEGI;PHYTOPHARM KL KA;004435;05909990109135;C01EX
AFRONIS;ELANDA;014751;05909990006526;D10AX
OSTRAM 1,2 G;MERCK SANTE;015036;05909990267316;A12AA
HUSTAGIL ERKAELTUNGSBALSAM;DENTINOX;015186;05909990039012;R05X
ISO-MACK RETARD 20;MACK;004478;05909990181421;C01DA
SIRUPUS KALII GUAJACOLOSULFONICI;VIS;004601;05909990186310;R05CA
KORA KRUSZYNY;FLOS;004761;05909994312166;A06AX
FENACTIL;UNIA;003161;05909990274314;N05AA
FENACTIL;UNIA;003162;05909990274321;N05AA
FLUANXOL;LUNDBECK;003319;05909991074203;N05AF
OWOC ANYØU;HERBALUX;003431;05909990609598;R05CA
GAMMA ANTY-HBS 200;BIOMED LUBLIN;003500;05909990060917;J06BB
GARGARIN AFLOFARM;AFLOFARM;003533;05909990178810;R02AA
KWIATOSTAN KOCANEK;FLOS;004933;05909994308619;A05AX
LANOLINA;PAMPA;005019;05909990658756;V07AY
LEWITAN DROØDØE PIWOWARSKIE;CENTURIA;005115;05907479588013;A11EX
ORTANOL;SANDOZ;013655;05909990130115;A02BC
PADOVEL 100 MG + 25 MG + 200 MG;SVUS;013718;05909991234010;N04BA
VITAMINUM B2 BIOFARM;BIOFARM;014159;05909990012220;A11HA
TAMPAX REGULAR;TAMBRANDS;015911;04001683001137;V07AY
KOSZYCZEK RUMIANKU HERBATKA RUMIANKOWA;ELANDA;016127;05908251901419;A03AX
ENDOXAN;AVRENTIM/BAXTER;016167;05909997065724;L01AA
SORAYA KOLAGEN Z ELASTYN• - MLECZKO KOSMETYCZNE;ORKLA CARE;016397;05901045001043;V07AT
LEXOTAN;FORFARM/ROCHE;005119;05909997218663;N05BA
LI∂∆ MELISY;FLOS;005249;05909994310766;N05CM
LI∂∆ SZA£WII;FLOS;005315;05909994310469;A01AD
NALEWKA Z KWIATU ARNIKI;AMARA;014339;05909990657155;M02AX
OSPAMOX;SANDOZ;014494;05909990293414;J01CA
OSPAMOX;SANDOZ;014498;05909990293216;J01CA
LUTRELEF;FERRING;005416;05909990100316;H01CA
MAGNEZIN;GEDEON RICHTER POLSKA;005492;05909990646647;A12CC
CEFEPIME DOTOPHARMA;DOTOPHARMA;005529;05909991273422;J01DE
MA∂∆ NA ODCISKI GEMI;GEMI;005568;05909990256815;D11AF
OSPAMOX;SANDOZ;014499;05909990293315;J01CA
WAZELINA BIA£A;ZIAJA;014704;05909990060184;D02AC
PREPARAT X;USA MEDICA;014722;05907706401108;P03AC
FLUCON;ALCON;003328;05909990186716;S01BA
IBUPROFEN GENERICS;GENERICS;003331;05909991141646;M01AE
FORTECORTIN MONO 8;MERCK;003394;05909990178117;H02AB
MA∂∆ RETYNOWA;COEL;005583;05909990297214;D10AD
LI∂∆ MELISY;LABOFARM;005650;05909990022151;N05CM
MERCAPTOPURINUM VIS;VIS;005695;05909990186112;L01BB
GEALCID;GLAXOSMITHKLINE, POZNA—;003573;05909990148448;A02AB
GELATUM ALUMINII PHOSPHORICI;ZIO£OLEK;003582;05909990287314;A02AB
GELATUM ALUMINII PHOSPHORICI AFLOFARM;AFLOFARM;003584;05909990053711;A02AB
FRAXIPARINE;ASPEN;003417;05909990075829;B01AB
HYDROCHLOROTHIAZIDUM;POLPHARMA;004184;05909990034611;C03AA
HYDROXYZINUM BIOGENED;BIOGENED;004206;05909990209316;N05BB
BENALAPRIL 5;BERLIN-CHEMIE;012039;05909990168514;C09AA
IVABRADINE ACCORD;ACCORD HEALTHCARE;012057;05055565740538;C01EB
LINAL;VIS;012575;05909990317110;A02AB
EVA NATURE STYLE - SZAMPON POKRZYWOWY;POLLENA-EWA;014758;05900002062035;V07AT
KWAS BOROWY;RECEPTO PHARMA;014806;05909991373955;D08AD
BIZMUTU GALUSAN ZASADOWY;AMARA;015059;05909990640768;D11AX
GLUCOSUM 5% FRESENIUS;FRESENIUS KABI POLSKA;003718;05909990674145;B05BA
GLUCOSUM 5% FRESENIUS;FRESENIUS KABI POLSKA;003722;05909990249022;B05BA
INHIBACE;ROCHE;004313;05909990097111;C09AA
PROFASI;MERCK SERONO;015150;05909990333615;G03GA
DOXAZOSIN GENOPTIM;SYNOPTIS;015178;05909991288747;C02CA
DOXAZOSIN GENOPTIM;SYNOPTIS;015179;05909991288792;C02CA
DOBUTAMIN SANDOZ;SANDOZ;015181;05909990330812;C01CA
ADVATE;BAXTER;015194;05909991195489;B02BD
TAMOXIFEN 10 HEXAL;SANDOZ;015217;05909990330928;L02BA
IMIPRAMIN;POLPHARMA;004268;05909990044412;N06AA
LOZAP 50;INPHARM/ZENTIVA;004419;05909991226671;C09CA
LANVIS;ASPEN;005020;05909990185214;L01BB
MALUGASTRIN;SENSILAB POLSKA;012578;05909990307319;A02AD
NICORETTE PATCH;MCNEIL;012645;05909990147014;N07BA
KWIAT JASNOTY BIA£EJ;FLOS;013198;05909990081103;G02CX
LEUCOMAX;NOVARTIS;005098;05909990037216;L03AA
LORAZEPAM ORION;ORION;005381;05909991106225;N05BA
METRONIDAZOL POLPHARMA;POLPHARMA;005776;05909990160211;P01AB
KORZE— £OPIANU;ZIO£A LECZNICZE - BOGUCCY;013251;05909990359318;D11AX
